H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/30 03:33:21,314.66,314.65,313.88,316.00,0.00,0.01,-0.04,0.09,234.93,0.36,0.00,49.957,>
M<2024/07/30 03:33:31,314.58,314.58,313.75,315.63,0.00,0.01,-0.04,0.05,234.63,0.04,0.00,50.000,>
M<2024/07/30 03:33:41,314.63,314.63,313.88,315.63,0.00,0.01,-0.03,0.04,234.23,-0.00,-0.00,49.973,>
M<2024/07/30 03:33:52,314.70,314.70,314.00,316.00,0.00,0.01,-0.07,0.05,234.23,0.14,0.00,49.940,>
M<2024/07/30 03:34:02,314.66,314.66,313.88,315.75,0.00,0.01,-0.03,0.04,233.93,0.02,0.00,49.979,>
M<2024/07/30 03:34:12,314.72,314.72,314.00,315.75,0.00,0.01,-0.04,0.04,233.82,0.12,0.00,49.969,>
M<2024/07/30 03:34:22,314.76,314.76,313.88,315.75,0.00,0.01,-0.08,0.04,233.74,0.01,0.00,49.926,>
M<2024/07/30 03:34:32,314.83,314.83,314.13,315.88,0.00,0.01,-0.04,0.04,233.71,0.06,0.00,49.986,>
M<2024/07/30 03:34:42,314.87,314.87,314.13,315.75,0.00,0.01,-0.04,0.05,234.14,-0.01,-0.00,49.975,>
M<2024/07/30 03:34:52,314.85,314.85,314.13,315.88,0.00,0.01,-0.04,0.04,234.10,0.11,0.00,50.074,>
M<2024/07/30 03:35:02,314.87,314.87,314.00,315.88,0.00,0.01,-0.05,0.04,234.03,0.18,0.00,49.955,>
M<2024/07/30 03:35:12,314.82,314.82,314.00,316.00,0.00,0.01,-0.03,0.09,234.17,0.49,0.00,49.966,>
M<2024/07/30 03:35:22,314.83,314.83,314.13,315.88,0.00,0.01,-0.04,0.05,233.93,-0.12,-0.00,49.953,>
M<2024/07/30 03:35:32,314.78,314.78,314.13,315.75,0.00,0.01,-0.05,0.05,234.00,0.15,0.00,49.973,>
M<2024/07/30 03:35:42,314.84,314.84,314.00,316.00,0.00,0.01,-0.04,0.04,233.60,-0.02,-0.00,49.952,>
M<2024/07/30 03:35:52,315.19,315.19,314.38,316.25,0.00,0.01,-0.03,0.08,233.65,-0.22,-0.00,49.977,>
M<2024/07/30 03:36:02,315.24,315.24,314.63,316.25,0.00,0.01,-0.04,0.05,233.83,0.37,0.00,49.953,>
M<2024/07/30 03:36:12,315.23,315.23,314.38,316.25,0.00,0.01,-0.07,0.04,233.92,-0.07,-0.00,50.004,>
M<2024/07/30 03:36:22,315.25,315.25,314.50,316.25,0.00,0.01,-0.04,0.04,234.03,0.05,0.00,49.968,>
M<2024/07/30 03:36:32,315.29,315.29,314.50,316.25,0.00,0.01,-0.03,0.05,233.89,0.17,0.00,50.087,>
M<2024/07/30 03:36:42,315.36,315.36,314.63,316.38,0.00,0.01,-0.04,0.05,233.91,0.02,0.00,49.977,>
M<2024/07/30 03:36:53,315.43,315.43,314.75,316.38,0.00,0.01,-0.04,0.04,233.94,0.07,0.00,49.966,>
M<2024/07/30 03:37:03,315.42,315.42,314.75,316.38,0.00,0.01,-0.09,0.04,233.48,0.08,0.00,49.964,>
M<2024/07/30 03:37:13,315.45,315.45,314.75,316.50,0.00,0.01,-0.04,0.04,233.63,0.34,0.00,50.001,>
M<2024/07/30 03:37:23,315.49,315.49,314.75,316.75,0.00,0.01,-0.07,0.05,233.50,-0.11,-0.00,49.946,>
M<2024/07/30 03:37:33,315.43,315.43,314.63,316.38,0.00,0.01,-0.04,0.05,233.87,0.05,0.00,49.895,>
M<2024/07/30 03:37:43,315.44,315.44,314.75,316.50,0.00,0.01,-0.03,0.06,233.64,-0.06,-0.00,49.964,>
M<2024/07/30 03:37:53,315.46,315.46,314.75,316.50,0.00,0.01,-0.07,0.05,233.72,-0.09,-0.00,49.943,>
M<2024/07/30 03:38:03,315.47,315.47,314.75,316.50,0.00,0.01,-0.04,0.05,233.48,0.20,0.00,49.942,>
M<2024/07/30 03:38:13,315.51,315.51,314.88,316.50,0.00,0.01,-0.10,0.05,233.67,0.23,0.00,49.972,>
M<2024/07/30 03:38:23,315.54,315.54,314.88,316.50,0.00,0.01,-0.03,0.04,233.43,0.24,0.00,49.949,>
M<2024/07/30 03:38:33,315.54,315.54,314.88,316.63,0.00,0.01,-0.04,0.04,233.18,0.23,0.00,49.994,>
M<2024/07/30 03:38:43,315.63,315.63,314.88,316.63,0.00,0.01,-0.03,0.05,233.11,0.15,0.00,49.988,>
M<2024/07/30 03:38:53,315.61,315.61,314.88,316.75,0.00,0.01,-0.05,0.05,233.18,-0.03,-0.00,49.974,>
M<2024/07/30 03:39:03,315.65,315.65,315.00,316.63,0.00,0.01,-0.04,0.05,233.38,0.00,0.00,49.950,>
M<2024/07/30 03:39:13,315.35,315.35,314.63,316.50,0.00,0.01,-0.04,0.06,233.44,0.04,0.00,49.933,>
M<2024/07/30 03:39:23,315.39,315.39,314.63,316.38,0.00,0.01,-0.04,0.05,233.52,-0.09,-0.00,49.929,>
M<2024/07/30 03:39:33,315.35,315.35,314.50,316.38,0.00,0.01,-0.03,0.04,233.51,-0.10,-0.00,49.968,>
M<2024/07/30 03:39:43,315.37,315.37,314.63,316.38,0.00,0.01,-0.03,0.13,233.31,-0.07,-0.00,50.048,>
M<2024/07/30 03:39:53,315.40,315.40,314.50,316.38,0.00,0.01,-0.03,0.07,233.40,0.03,0.00,49.955,>
M<2024/07/30 03:40:03,315.36,315.36,314.50,316.50,0.00,0.01,-0.04,0.05,233.46,-0.22,-0.00,50.071,>
M<2024/07/30 03:40:13,315.44,315.44,314.75,316.63,0.00,0.01,-0.04,0.04,233.46,0.06,0.00,49.955,>
M<2024/07/30 03:40:23,315.46,315.46,314.75,316.50,0.00,0.01,-0.04,0.05,233.48,-0.10,-0.00,49.960,>
M<2024/07/30 03:40:33,315.50,315.50,314.75,316.50,0.00,0.01,-0.08,0.04,233.37,-0.11,-0.00,50.033,>
M<2024/07/30 03:40:43,315.53,315.53,314.75,316.63,0.00,0.01,-0.03,0.09,233.56,0.00,0.00,49.992,>
M<2024/07/30 03:40:53,315.50,315.50,314.75,316.50,0.00,0.01,-0.04,0.04,233.68,-0.19,-0.00,49.948,>
M<2024/07/30 03:41:03,315.44,315.44,314.75,316.63,0.00,0.01,-0.03,0.05,233.36,0.10,0.00,49.944,>
M<2024/07/30 03:41:13,315.48,315.48,314.75,316.50,0.00,0.01,-0.03,0.09,233.13,-0.15,-0.00,49.951,>
M<2024/07/30 03:41:23,315.56,315.56,314.75,316.63,0.00,0.01,-0.03,0.04,232.84,-0.04,-0.00,49.979,>
M<2024/07/30 03:41:33,315.58,315.58,314.88,316.63,0.00,0.01,-0.11,0.05,233.02,0.09,0.00,49.965,>
M<2024/07/30 03:41:43,315.38,315.38,312.75,316.63,0.00,0.01,-0.04,0.05,233.08,-0.18,-0.00,49.964,>
M<2024/07/30 03:41:53,315.39,315.39,314.00,316.63,0.00,0.01,-0.04,0.07,232.75,-0.15,-0.00,50.079,>
M<2024/07/30 03:42:03,315.58,315.58,314.50,316.50,0.00,0.01,-0.03,0.05,233.06,0.12,0.00,49.961,>
M<2024/07/30 03:42:13,315.60,315.60,314.63,316.75,0.00,0.01,-0.07,0.06,232.99,0.25,0.00,49.931,>
M<2024/07/30 03:42:23,315.71,315.71,314.50,316.63,0.00,0.01,-0.03,0.04,232.69,-0.01,-0.00,49.939,>
M<2024/07/30 03:42:33,315.43,315.43,311.88,317.25,0.00,0.01,-0.04,0.07,232.69,-0.02,-0.00,49.937,>
M<2024/07/30 03:42:43,315.84,315.84,314.88,317.00,0.00,0.01,-0.05,0.05,232.35,0.10,0.00,49.963,>
M<2024/07/30 03:42:54,316.02,316.02,313.88,317.25,0.00,0.01,-0.09,0.04,232.33,0.26,0.00,49.955,>
M<2024/07/30 03:43:04,315.95,315.95,315.13,317.00,0.00,0.01,-0.04,0.04,232.38,-0.03,-0.00,49.955,>
M<2024/07/30 03:43:14,315.96,315.96,315.25,317.00,0.00,0.01,-0.05,0.08,232.48,-0.24,-0.00,49.973,>
M<2024/07/30 03:43:24,315.94,315.94,315.13,317.00,0.00,0.01,-0.03,0.05,232.38,0.40,0.00,49.996,>
M<2024/07/30 03:43:34,315.97,315.97,315.13,317.00,0.00,0.01,-0.04,0.04,232.53,-0.06,-0.00,49.991,>
M<2024/07/30 03:43:45,315.55,315.56,312.25,316.75,0.00,0.01,-0.03,0.04,232.14,0.01,0.00,49.986,>
M<2024/07/30 03:43:55,315.33,315.33,311.88,316.88,0.00,0.01,-0.05,0.06,232.03,-0.02,-0.00,49.978,>
M<2024/07/30 03:44:05,315.06,315.07,308.38,317.00,0.00,0.01,-0.03,0.04,232.05,-0.21,-0.00,49.968,>
M<2024/07/30 03:44:15,315.90,315.90,315.00,316.88,0.00,0.01,-0.04,0.05,232.40,-0.24,-0.00,49.946,>
M<2024/07/30 03:44:25,315.72,315.72,312.88,317.00,0.00,0.01,-0.03,0.04,232.52,0.10,0.00,49.973,>
M<2024/07/30 03:44:35,315.61,315.61,313.50,316.88,0.00,0.01,-0.04,0.04,232.45,-0.12,-0.00,50.007,>
M<2024/07/30 03:44:45,315.86,315.86,314.13,317.13,0.00,0.01,-0.03,0.05,232.42,-0.05,-0.00,49.981,>
M<2024/07/30 03:44:55,315.46,315.46,313.00,317.00,0.00,0.01,-0.04,0.04,232.57,0.21,0.00,49.972,>
M<2024/07/30 03:45:05,315.78,315.78,314.63,317.00,0.00,0.01,-0.10,0.05,232.51,0.22,0.00,49.973,>
M<2024/07/30 03:45:15,316.04,316.04,315.38,317.00,0.00,0.01,-0.03,0.08,232.31,0.08,0.00,49.987,>
M<2024/07/30 03:45:25,316.11,316.11,315.00,317.25,0.00,0.01,-0.03,0.04,232.17,-0.00,-0.00,49.990,>
M<2024/07/30 03:45:35,316.03,316.03,314.50,317.13,0.00,0.01,-0.07,0.04,232.26,0.07,0.00,49.942,>
M<2024/07/30 03:45:45,316.19,316.19,315.50,317.25,0.00,0.01,-0.03,0.05,232.15,0.23,0.00,49.964,>
M<2024/07/30 03:45:55,316.27,316.27,315.63,317.25,0.00,0.01,-0.04,0.04,231.93,0.01,0.00,50.102,>
