H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/27 03:33:50,482.97,482.97,481.75,484.38,0.00,0.01,-0.03,0.05,232.04,0.08,0.00,49.948,>
M<2024/07/27 03:34:00,483.03,483.03,482.13,484.38,0.00,0.01,-0.04,0.08,231.90,0.08,0.00,49.958,>
M<2024/07/27 03:34:11,482.99,482.99,482.00,484.25,0.00,0.01,-0.09,0.09,231.88,0.41,0.00,49.957,>
M<2024/07/27 03:34:21,483.04,483.04,482.00,484.25,0.00,0.01,-0.05,0.04,231.94,0.26,0.00,50.069,>
M<2024/07/27 03:34:31,483.10,483.10,482.13,484.38,0.00,0.01,-0.04,0.05,231.51,0.00,0.00,50.081,>
M<2024/07/27 03:34:41,483.02,483.02,482.13,484.25,0.00,0.01,-0.03,0.05,231.30,-0.01,-0.00,50.071,>
M<2024/07/27 03:34:51,483.08,483.08,482.13,484.75,0.00,0.01,-0.03,0.05,231.23,0.02,0.00,49.962,>
M<2024/07/27 03:35:01,483.04,483.04,482.13,484.38,0.00,0.01,-0.03,0.05,231.04,0.23,0.00,49.932,>
M<2024/07/27 03:35:11,483.09,483.09,482.13,484.38,0.00,0.01,-0.03,0.05,231.28,0.06,0.00,50.068,>
M<2024/07/27 03:35:21,483.07,483.07,482.13,484.38,0.00,0.01,-0.10,0.04,231.45,-0.18,-0.00,49.937,>
M<2024/07/27 03:35:31,483.16,483.16,482.13,484.75,0.00,0.01,-0.04,0.05,231.28,0.24,0.00,49.971,>
M<2024/07/27 03:35:41,483.20,483.20,482.25,484.50,0.00,0.01,-0.03,0.05,231.38,-0.19,-0.00,50.045,>
M<2024/07/27 03:35:51,483.21,483.21,482.13,484.88,0.00,0.01,-0.03,0.05,230.87,-0.09,-0.00,49.944,>
M<2024/07/27 03:36:01,483.29,483.28,482.38,484.63,0.00,0.01,-0.03,0.04,230.93,-0.02,-0.00,50.080,>
M<2024/07/27 03:36:11,483.27,483.26,482.25,484.63,0.00,0.01,-0.03,0.09,230.51,0.12,0.00,49.954,>
M<2024/07/27 03:36:21,483.21,483.21,482.25,484.63,0.00,0.01,-0.04,0.05,230.70,0.07,0.00,49.974,>
M<2024/07/27 03:36:31,483.17,483.17,482.13,484.50,0.00,0.01,-0.05,0.04,230.82,-0.08,-0.00,49.983,>
M<2024/07/27 03:36:41,483.14,483.14,482.25,484.50,0.00,0.01,-0.03,0.07,230.76,-0.07,-0.00,49.967,>
M<2024/07/27 03:36:51,483.17,483.17,482.25,484.50,0.00,0.01,-0.04,0.05,231.30,-0.06,-0.00,49.969,>
M<2024/07/27 03:37:01,483.19,483.19,482.25,484.50,0.00,0.01,-0.09,0.05,231.54,-0.15,-0.00,49.966,>
M<2024/07/27 03:37:12,483.24,483.24,482.25,484.63,0.00,0.01,-0.04,0.05,231.37,0.26,0.00,49.958,>
M<2024/07/27 03:37:22,483.26,483.26,482.25,484.75,0.00,0.01,-0.08,0.04,231.49,0.05,0.00,49.956,>
M<2024/07/27 03:37:32,483.25,483.25,482.25,484.50,0.00,0.01,-0.05,0.07,231.74,0.16,0.00,50.080,>
M<2024/07/27 03:37:42,483.19,483.19,482.00,484.75,0.00,0.01,-0.03,0.05,231.55,-0.01,-0.00,49.949,>
M<2024/07/27 03:37:52,483.21,483.21,482.25,484.63,0.00,0.01,-0.03,0.07,231.42,0.08,0.00,49.984,>
M<2024/07/27 03:38:02,483.23,483.23,482.25,484.63,0.00,0.01,-0.04,0.04,231.29,0.02,0.00,50.077,>
M<2024/07/27 03:38:12,483.17,483.17,482.13,484.63,0.00,0.01,-0.03,0.04,231.37,-0.15,-0.00,49.979,>
M<2024/07/27 03:38:22,483.33,483.33,482.25,484.63,0.00,0.01,-0.03,0.05,231.39,-0.23,-0.00,49.956,>
M<2024/07/27 03:38:32,483.35,483.35,482.50,484.75,0.00,0.01,-0.03,0.08,231.54,-0.19,-0.00,49.967,>
M<2024/07/27 03:38:42,483.20,483.20,482.25,484.63,0.00,0.01,-0.04,0.05,231.58,0.05,0.00,49.974,>
M<2024/07/27 03:38:52,483.18,483.18,482.25,484.38,0.00,0.01,-0.04,0.07,231.58,0.12,0.00,49.975,>
M<2024/07/27 03:39:02,483.18,483.18,482.25,484.63,0.00,0.01,-0.08,0.06,231.46,0.36,0.00,49.948,>
M<2024/07/27 03:39:12,483.20,483.19,482.13,484.63,0.00,0.01,-0.07,0.04,231.54,-0.03,-0.00,50.191,>
M<2024/07/27 03:39:22,483.22,483.22,482.25,484.50,0.00,0.01,-0.04,0.05,230.75,0.22,0.00,49.961,>
M<2024/07/27 03:39:32,483.30,483.30,482.25,484.63,0.00,0.01,-0.03,0.05,230.14,0.37,0.00,49.931,>
M<2024/07/27 03:39:42,483.15,483.15,482.13,484.50,0.00,0.01,-0.03,0.04,230.30,0.37,0.00,49.983,>
M<2024/07/27 03:39:52,483.23,483.23,482.25,484.63,0.00,0.01,-0.04,0.05,230.02,0.31,0.00,49.980,>
M<2024/07/27 03:40:02,483.19,483.19,482.13,484.63,0.00,0.01,-0.04,0.05,230.35,0.00,0.00,49.950,>
M<2024/07/27 03:40:13,483.32,483.31,482.38,484.88,0.00,0.01,-0.04,0.04,230.31,0.13,0.00,49.958,>
M<2024/07/27 03:40:23,483.33,483.33,482.38,484.63,0.00,0.01,-0.08,0.05,231.13,0.05,0.00,49.976,>
M<2024/07/27 03:40:33,483.24,483.24,482.13,484.63,0.00,0.01,-0.03,0.04,231.55,0.22,0.00,49.979,>
M<2024/07/27 03:40:43,483.30,483.29,482.38,484.63,0.00,0.01,-0.04,0.04,231.48,-0.24,-0.00,49.965,>
M<2024/07/27 03:40:53,483.27,483.27,482.25,484.63,0.00,0.01,-0.03,0.04,232.07,0.03,0.00,49.980,>
M<2024/07/27 03:41:03,483.26,483.26,482.13,484.63,0.00,0.01,-0.06,0.05,231.89,0.08,0.00,50.067,>
M<2024/07/27 03:41:13,483.19,483.19,482.13,484.63,0.00,0.01,-0.04,0.05,231.77,-0.12,-0.00,50.093,>
M<2024/07/27 03:41:23,483.20,483.20,482.25,484.63,0.00,0.01,-0.04,0.05,231.86,0.23,0.00,50.080,>
M<2024/07/27 03:41:33,483.26,483.26,482.38,484.63,0.00,0.01,-0.03,0.05,231.71,0.13,0.00,50.080,>
M<2024/07/27 03:41:43,483.36,483.35,482.50,484.63,0.00,0.01,-0.03,0.05,231.70,-0.18,-0.00,49.955,>
M<2024/07/27 03:41:53,483.34,483.34,482.38,484.63,0.00,0.01,-0.03,0.05,231.82,-0.01,-0.00,49.961,>
M<2024/07/27 03:42:03,483.38,483.38,482.38,484.88,0.00,0.01,-0.07,0.09,231.98,0.02,0.00,49.935,>
M<2024/07/27 03:42:13,483.42,483.42,482.50,484.75,0.00,0.01,-0.03,0.04,232.00,-0.02,-0.00,49.977,>
M<2024/07/27 03:42:23,483.44,483.44,482.50,484.88,0.00,0.01,-0.08,0.05,231.97,0.10,0.00,49.952,>
M<2024/07/27 03:42:33,483.52,483.52,482.50,485.00,0.00,0.01,-0.03,0.04,231.72,0.24,0.00,49.964,>
M<2024/07/27 03:42:43,483.46,483.46,482.50,484.75,0.00,0.01,-0.10,0.05,231.73,-0.01,-0.00,49.985,>
M<2024/07/27 03:42:53,483.48,483.48,482.63,484.75,0.00,0.01,-0.05,0.05,231.85,-0.27,-0.00,49.964,>
M<2024/07/27 03:43:03,483.55,483.55,482.50,485.00,0.00,0.01,-0.03,0.05,231.94,0.02,0.00,49.962,>
M<2024/07/27 03:43:13,483.51,483.51,482.38,485.00,0.00,0.01,-0.03,0.05,232.09,0.09,0.00,49.963,>
M<2024/07/27 03:43:23,483.60,483.60,482.75,485.00,0.00,0.01,-0.07,0.04,232.14,0.16,0.00,49.943,>
M<2024/07/27 03:43:33,483.57,483.56,482.63,484.88,0.00,0.01,-0.03,0.07,232.02,0.43,0.00,50.172,>
M<2024/07/27 03:43:43,483.55,483.55,482.50,485.00,0.00,0.01,-0.05,0.07,232.09,0.04,0.00,49.977,>
M<2024/07/27 03:43:53,483.55,483.54,482.63,484.88,0.00,0.01,-0.03,0.05,232.14,0.01,0.00,49.982,>
M<2024/07/27 03:44:03,483.46,483.46,482.50,484.75,0.00,0.01,-0.03,0.08,231.80,0.30,0.00,50.088,>
M<2024/07/27 03:44:13,483.46,483.46,482.50,484.75,0.00,0.01,-0.05,0.04,231.95,0.13,0.00,49.956,>
M<2024/07/27 03:44:23,483.54,483.53,482.63,485.00,0.00,0.01,-0.05,0.05,231.87,0.04,0.00,49.942,>
M<2024/07/27 03:44:33,483.56,483.56,482.50,485.00,0.00,0.01,-0.04,0.04,232.11,0.15,0.00,49.996,>
M<2024/07/27 03:44:43,483.71,483.71,482.63,485.13,0.00,0.01,-0.04,0.04,232.37,-0.09,-0.00,49.979,>
M<2024/07/27 03:44:53,483.67,483.67,482.63,485.00,0.00,0.01,-0.05,0.05,232.62,0.03,0.00,49.982,>
M<2024/07/27 03:45:03,483.72,483.72,482.75,485.13,0.00,0.01,-0.04,0.05,232.71,0.01,0.00,49.998,>
M<2024/07/27 03:45:13,483.75,483.74,482.75,485.00,0.00,0.01,-0.08,0.05,232.67,0.15,0.00,49.948,>
M<2024/07/27 03:45:23,483.68,483.68,482.75,485.00,0.00,0.01,-0.04,0.04,232.36,-0.05,-0.00,49.954,>
M<2024/07/27 03:45:33,483.66,483.66,482.75,485.00,0.00,0.01,-0.04,0.04,232.41,-0.02,-0.00,49.940,>
M<2024/07/27 03:45:43,483.62,483.62,482.63,485.13,0.00,0.01,-0.03,0.04,232.25,-0.17,-0.00,49.972,>
M<2024/07/27 03:45:53,483.74,483.74,482.75,485.00,0.00,0.01,-0.03,0.07,232.86,0.04,0.00,49.962,>
M<2024/07/27 03:46:03,483.69,483.69,482.63,485.00,0.00,0.01,-0.05,0.05,232.79,-0.25,-0.00,49.983,>
M<2024/07/27 03:46:14,483.74,483.74,482.88,485.13,0.00,0.01,-0.07,0.05,233.14,0.07,0.00,49.947,>
M<2024/07/27 03:46:24,483.76,483.76,482.75,485.13,0.00,0.01,-0.03,0.06,232.81,-0.13,-0.00,49.967,>
M<2024/07/27 03:46:34,483.72,483.72,482.63,485.13,0.00,0.01,-0.07,0.05,232.83,-0.11,-0.00,49.943,>
M<2024/07/27 03:46:44,483.74,483.73,482.75,485.25,0.00,0.01,-0.03,0.10,232.69,0.15,0.00,49.977,>
M<2024/07/27 03:46:54,483.70,483.70,482.75,485.00,0.00,0.01,-0.04,0.05,232.84,-0.07,-0.00,50.187,>
M<2024/07/27 03:47:05,483.72,483.72,482.75,485.00,0.00,0.01,-0.03,0.09,232.68,0.24,0.00,49.990,>
