H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/28 00:00:06,377.55,377.55,376.75,378.75,0.00,0.01,-0.03,0.08,235.62,-0.10,-0.00,49.960,>
M<2024/07/28 00:00:16,377.61,377.61,376.75,378.88,0.00,0.01,-0.04,0.05,235.04,0.43,0.00,49.895,>
M<2024/07/28 00:00:27,377.64,377.64,376.88,378.75,0.00,0.01,-0.09,0.04,235.13,-0.28,-0.00,49.876,>
M<2024/07/28 00:00:37,377.64,377.64,376.88,378.88,0.00,0.01,-0.09,0.05,235.07,0.00,0.00,49.874,>
M<2024/07/28 00:00:47,377.67,377.68,376.75,378.75,0.00,0.01,-0.04,0.05,235.20,0.11,0.00,49.854,>
M<2024/07/28 00:00:57,377.71,377.71,376.88,378.75,0.00,0.01,-0.07,0.04,235.20,0.20,0.00,49.866,>
M<2024/07/28 00:01:07,377.76,377.76,376.88,378.88,0.00,0.01,-0.05,0.09,235.28,0.21,0.00,49.892,>
M<2024/07/28 00:01:17,377.77,377.77,376.88,378.88,0.00,0.01,-0.04,0.04,234.76,0.00,0.00,49.868,>
M<2024/07/28 00:01:27,380.23,380.23,377.63,382.00,0.00,0.01,-0.03,0.04,235.40,0.17,0.00,50.014,>
M<2024/07/28 00:01:37,380.87,380.87,379.88,382.00,0.00,0.01,-0.03,0.04,235.47,0.15,0.00,49.893,>
M<2024/07/28 00:01:47,379.57,379.57,377.25,382.00,0.00,0.01,-0.04,0.03,235.28,0.17,0.00,49.893,>
M<2024/07/28 00:01:57,377.90,377.90,377.13,379.00,0.00,0.01,-0.03,0.05,235.55,0.26,0.00,49.890,>
M<2024/07/28 00:02:07,377.86,377.86,377.00,379.13,0.00,0.01,-0.04,0.04,235.92,-0.09,-0.00,49.907,>
M<2024/07/28 00:02:17,377.83,377.83,377.00,378.88,0.00,0.01,-0.09,0.04,235.81,0.35,0.00,49.905,>
M<2024/07/28 00:02:27,377.99,377.99,377.00,379.38,0.00,0.01,-0.03,0.06,236.02,-0.23,-0.00,49.888,>
M<2024/07/28 00:02:37,377.89,377.89,377.00,379.00,0.00,0.01,-0.04,0.04,235.92,0.17,0.00,49.917,>
M<2024/07/28 00:02:47,377.96,377.96,377.00,379.00,0.00,0.01,-0.04,0.04,236.25,0.22,0.00,49.927,>
M<2024/07/28 00:02:57,378.03,378.03,377.25,379.25,0.00,0.01,-0.08,0.05,235.87,0.41,0.00,49.916,>
M<2024/07/28 00:03:07,377.99,377.99,377.13,379.13,0.00,0.01,-0.03,0.07,235.70,0.31,0.00,49.894,>
M<2024/07/28 00:03:17,378.02,378.02,377.25,379.13,0.00,0.01,-0.05,0.04,235.60,-0.40,-0.00,49.919,>
M<2024/07/28 00:03:28,378.04,378.04,377.13,379.25,0.00,0.01,-0.05,0.06,235.21,0.32,0.00,49.943,>
M<2024/07/28 00:03:38,378.02,378.02,377.13,379.13,0.00,0.01,-0.04,0.08,235.39,0.27,0.00,49.949,>
M<2024/07/28 00:03:48,378.17,378.17,377.25,379.38,0.00,0.01,-0.09,0.04,235.30,-0.04,-0.00,49.949,>
M<2024/07/28 00:03:58,378.17,378.17,377.25,379.25,0.00,0.01,-0.03,0.05,235.19,0.34,0.00,49.922,>
M<2024/07/28 00:04:08,378.13,378.13,377.38,379.38,0.00,0.01,-0.03,0.04,235.41,-0.06,-0.00,49.942,>
M<2024/07/28 00:04:18,378.17,378.17,377.38,379.25,0.00,0.01,-0.04,0.05,235.27,0.31,0.00,50.034,>
M<2024/07/28 00:04:28,378.13,378.13,377.38,379.13,0.00,0.01,-0.05,0.12,235.11,-0.36,-0.00,49.915,>
M<2024/07/28 00:04:38,378.19,378.19,377.38,379.38,0.00,0.01,-0.04,0.05,235.08,0.32,0.00,49.937,>
M<2024/07/28 00:04:48,378.28,378.27,377.50,379.38,0.00,0.01,-0.05,0.04,235.17,0.21,0.00,50.048,>
M<2024/07/28 00:04:58,378.25,378.25,377.50,379.38,0.00,0.01,-0.04,0.04,235.29,0.11,0.00,49.913,>
M<2024/07/28 00:05:08,378.25,378.25,377.38,379.38,0.00,0.01,-0.05,0.04,235.44,0.22,0.00,49.938,>
M<2024/07/28 00:05:18,378.27,378.27,377.50,379.38,0.00,0.01,-0.05,0.04,235.31,0.27,0.00,49.903,>
M<2024/07/28 00:05:28,378.35,378.35,377.38,379.38,0.00,0.01,-0.04,0.05,235.47,0.22,0.00,49.916,>
M<2024/07/28 00:05:38,378.30,378.30,377.13,379.50,0.00,0.01,-0.04,0.05,235.18,-0.21,-0.00,50.103,>
M<2024/07/28 00:05:48,378.36,378.36,377.50,379.38,0.00,0.01,-0.03,0.05,235.26,0.09,0.00,49.984,>
M<2024/07/28 00:05:58,378.42,378.42,377.63,379.63,0.00,0.01,-0.05,0.04,235.19,-0.13,-0.00,49.942,>
M<2024/07/28 00:06:08,378.41,378.41,377.63,379.50,0.00,0.01,-0.04,0.04,234.78,0.10,0.00,49.919,>
M<2024/07/28 00:06:18,378.43,378.43,377.50,379.63,0.00,0.01,-0.04,0.04,234.80,0.11,0.00,49.966,>
M<2024/07/28 00:06:28,378.41,378.41,377.63,379.75,0.00,0.01,-0.05,0.05,235.09,-0.23,-0.00,49.964,>
M<2024/07/28 00:06:38,378.47,378.47,377.63,379.63,0.00,0.01,-0.05,0.05,234.93,0.07,0.00,49.959,>
M<2024/07/28 00:06:48,378.45,378.45,377.63,379.63,0.00,0.01,-0.03,0.03,235.11,-0.05,-0.00,49.956,>
M<2024/07/28 00:06:58,378.53,378.53,377.63,379.63,0.00,0.01,-0.05,0.04,235.00,-0.14,-0.00,49.954,>
M<2024/07/28 00:07:08,378.51,378.51,377.63,379.63,0.00,0.01,-0.03,0.04,235.30,-0.19,-0.00,49.940,>
M<2024/07/28 00:07:18,378.56,378.56,377.63,379.75,0.00,0.01,-0.04,0.04,235.38,-0.05,-0.00,49.956,>
M<2024/07/28 00:07:28,378.52,378.52,377.63,379.88,0.00,0.01,-0.07,0.05,234.89,0.13,0.00,49.928,>
M<2024/07/28 00:07:38,378.53,378.53,377.75,379.75,0.00,0.01,-0.05,0.05,235.01,-0.11,-0.00,49.958,>
M<2024/07/28 00:07:48,378.64,378.64,377.88,379.75,0.00,0.01,-0.04,0.05,235.11,0.05,0.00,49.942,>
M<2024/07/28 00:07:58,378.60,378.60,377.75,379.75,0.00,0.01,-0.04,0.04,234.96,-0.02,-0.00,49.953,>
M<2024/07/28 00:08:08,378.68,378.68,377.88,379.75,0.00,0.01,-0.05,0.06,235.15,0.07,0.00,49.947,>
M<2024/07/28 00:08:18,378.73,378.73,377.88,379.88,0.00,0.01,-0.05,0.04,234.91,0.17,0.00,49.950,>
M<2024/07/28 00:08:28,378.74,378.74,377.88,379.88,0.00,0.01,-0.05,0.04,235.07,0.24,0.00,49.948,>
M<2024/07/28 00:08:39,378.77,378.77,377.88,379.88,0.00,0.01,-0.05,0.04,235.09,0.30,0.00,49.966,>
M<2024/07/28 00:08:49,378.72,378.72,377.88,379.88,0.00,0.01,-0.03,0.05,234.89,0.15,0.00,49.972,>
M<2024/07/28 00:08:59,378.75,378.75,377.88,379.88,0.00,0.01,-0.04,0.06,234.77,-0.01,-0.00,49.953,>
M<2024/07/28 00:09:09,378.74,378.74,377.88,379.88,0.00,0.01,-0.05,0.07,234.48,0.11,0.00,49.987,>
M<2024/07/28 00:09:19,378.81,378.81,378.00,379.88,0.00,0.01,-0.04,0.11,234.57,0.02,0.00,50.002,>
M<2024/07/28 00:09:29,378.87,378.87,378.13,380.00,0.00,0.01,-0.04,0.05,234.69,0.28,0.00,49.974,>
M<2024/07/28 00:09:39,378.96,378.96,378.13,380.13,0.00,0.01,-0.04,0.05,234.59,-0.05,-0.00,49.967,>
M<2024/07/28 00:09:49,378.94,378.94,378.13,380.13,0.00,0.01,-0.03,0.04,234.87,0.24,0.00,50.074,>
M<2024/07/28 00:09:59,378.95,378.95,378.13,380.13,0.00,0.01,-0.04,0.04,234.81,-0.05,-0.00,50.058,>
M<2024/07/28 00:10:09,378.99,378.99,378.25,380.13,0.00,0.01,-0.07,0.04,234.96,-0.15,-0.00,49.965,>
M<2024/07/28 00:10:19,378.95,378.95,378.13,380.13,0.00,0.01,-0.03,0.05,234.92,0.05,0.00,49.943,>
M<2024/07/28 00:10:29,379.04,379.04,378.13,380.13,0.00,0.01,-0.03,0.09,234.97,-0.06,-0.00,50.101,>
M<2024/07/28 00:10:39,379.03,379.03,378.13,380.13,0.00,0.01,-0.07,0.04,235.01,0.29,0.00,49.954,>
M<2024/07/28 00:10:49,379.04,379.04,378.13,380.13,0.00,0.01,-0.05,0.04,234.92,-0.01,-0.00,49.961,>
M<2024/07/28 00:10:59,379.11,379.11,378.25,380.25,0.00,0.01,-0.04,0.05,234.97,0.05,0.00,49.978,>
M<2024/07/28 00:11:09,379.13,379.13,378.38,380.25,0.00,0.01,-0.06,0.04,235.00,0.02,0.00,49.995,>
M<2024/07/28 00:11:19,379.14,379.14,378.25,380.25,0.00,0.01,-0.09,0.05,235.27,0.06,0.00,49.994,>
M<2024/07/28 00:11:29,379.15,379.15,378.38,380.38,0.00,0.01,-0.05,0.05,235.39,-0.03,-0.00,49.979,>
M<2024/07/28 00:11:39,379.22,379.22,378.38,380.38,0.00,0.01,-0.04,0.05,235.55,0.02,0.00,50.080,>
M<2024/07/28 00:11:49,379.37,379.37,378.50,380.63,0.00,0.01,-0.03,0.05,235.33,0.14,0.00,49.974,>
M<2024/07/28 00:11:59,379.38,379.38,378.63,380.50,0.00,0.01,-0.04,0.06,235.05,0.18,0.00,49.965,>
M<2024/07/28 00:12:09,379.40,379.40,378.38,380.50,0.00,0.01,-0.03,0.04,234.45,-0.09,-0.00,49.978,>
M<2024/07/28 00:12:19,379.35,379.35,378.38,380.50,0.00,0.01,-0.04,0.06,234.51,-0.11,-0.00,49.959,>
M<2024/07/28 00:12:29,379.35,379.35,378.63,380.50,0.00,0.01,-0.04,0.03,234.67,0.22,0.00,49.976,>
M<2024/07/28 00:12:39,379.55,379.55,378.75,380.75,0.00,0.01,-0.03,0.04,234.56,-0.05,-0.00,49.965,>
M<2024/07/28 00:12:49,379.59,379.59,378.63,380.75,0.00,0.01,-0.05,0.04,234.71,-0.00,-0.00,50.003,>
M<2024/07/28 00:12:59,379.59,379.59,378.88,380.75,0.00,0.01,-0.03,0.05,234.79,-0.08,-0.00,50.007,>
M<2024/07/28 00:13:09,379.53,379.53,378.75,380.63,0.00,0.01,-0.03,0.04,234.69,0.04,0.00,49.990,>
M<2024/07/28 00:13:19,379.68,379.68,378.88,380.88,0.00,0.01,-0.05,0.05,234.51,0.06,0.00,50.009,>
M<2024/07/28 00:13:29,379.61,379.61,378.88,380.75,0.00,0.01,-0.04,0.11,234.91,0.18,0.00,50.031,>
M<2024/07/28 00:13:39,379.67,379.67,378.88,380.88,0.00,0.01,-0.04,0.06,234.87,0.05,0.00,49.959,>
M<2024/07/28 00:13:50,379.70,379.70,378.88,380.88,0.00,0.01,-0.05,0.05,235.14,0.07,0.00,49.988,>
M<2024/07/28 00:14:00,379.72,379.72,379.00,380.88,0.00,0.01,-0.05,0.05,234.97,-0.36,-0.00,49.965,>
M<2024/07/28 00:14:10,379.74,379.74,378.88,380.75,0.00,0.01,-0.04,0.04,235.13,-0.04,-0.00,49.965,>
M<2024/07/28 00:14:20,379.80,379.80,379.00,380.88,0.00,0.01,-0.07,0.04,235.05,-0.15,-0.00,49.968,>
M<2024/07/28 00:14:30,379.84,379.84,379.00,381.00,0.00,0.01,-0.03,0.04,234.95,-0.25,-0.00,49.962,>
M<2024/07/28 00:14:40,379.86,379.86,379.00,381.00,0.00,0.01,-0.04,0.04,234.75,0.05,0.00,49.951,>
M<2024/07/28 00:14:50,379.93,379.94,379.13,381.13,0.00,0.01,-0.04,0.04,234.41,0.02,0.00,49.982,>
