H<datetime,DIFF1_mean[mV],DIFF1_rms[mV],DIFF1_min[mV],DIFF1_max[mV],DIFF3_mean[mV],DIFF3_rms[mV],DIFF3_min[mV],DIFF3_max[mV],V2rms[V],P2real[W],PF2[],f2[Hz],notes>
M<2024/07/29 00:07:30,297.61,297.61,296.88,298.50,0.00,0.01,-0.03,0.05,231.36,0.10,0.00,49.892,>
M<2024/07/29 00:07:40,297.71,297.70,296.88,298.75,0.00,0.01,-0.04,0.05,230.00,0.28,0.00,49.936,>
M<2024/07/29 00:07:50,297.72,297.72,297.13,298.75,0.00,0.01,-0.04,0.04,229.78,0.34,0.00,49.944,>
M<2024/07/29 00:08:00,297.79,297.79,297.13,298.75,0.00,0.01,-0.05,0.05,229.73,-0.20,-0.00,49.924,>
M<2024/07/29 00:08:10,297.75,297.75,297.00,298.75,0.00,0.01,-0.05,0.04,230.01,0.11,0.00,49.921,>
M<2024/07/29 00:08:20,297.91,297.91,296.88,299.00,0.00,0.01,-0.04,0.04,229.88,0.13,0.00,50.050,>
M<2024/07/29 00:08:30,298.00,298.00,297.38,299.00,0.00,0.01,-0.08,0.04,230.54,-0.35,-0.00,49.982,>
M<2024/07/29 00:08:40,297.98,297.98,297.13,299.00,0.00,0.01,-0.04,0.06,231.89,-0.03,-0.00,50.068,>
M<2024/07/29 00:08:50,297.93,297.93,297.25,298.88,0.00,0.01,-0.04,0.05,231.76,0.09,0.00,49.963,>
M<2024/07/29 00:09:00,298.12,298.12,297.50,299.00,0.00,0.01,-0.04,0.04,231.92,0.04,0.00,49.947,>
M<2024/07/29 00:09:11,298.13,298.13,297.13,299.00,0.00,0.01,-0.03,0.04,231.98,0.04,0.00,49.987,>
M<2024/07/29 00:09:21,298.17,298.17,297.50,299.00,0.00,0.01,-0.05,0.05,231.95,-0.17,-0.00,49.965,>
M<2024/07/29 00:09:31,298.30,298.30,297.50,299.25,0.00,0.01,-0.04,0.05,231.91,-0.10,-0.00,49.989,>
M<2024/07/29 00:09:41,298.39,298.40,297.63,299.25,0.00,0.01,-0.04,0.04,232.05,-0.08,-0.00,49.971,>
M<2024/07/29 00:09:51,298.29,298.29,297.50,299.13,0.00,0.01,-0.04,0.04,232.38,-0.26,-0.00,49.976,>
M<2024/07/29 00:10:01,298.34,298.34,297.63,299.38,0.00,0.01,-0.04,0.06,232.20,0.17,0.00,49.978,>
M<2024/07/29 00:10:11,298.39,298.39,297.75,299.50,0.00,0.01,-0.07,0.06,232.25,0.35,0.00,49.983,>
M<2024/07/29 00:10:21,298.39,298.39,297.75,299.25,0.00,0.01,-0.03,0.08,232.19,-0.11,-0.00,49.974,>
M<2024/07/29 00:10:31,298.38,298.38,297.75,299.38,0.00,0.01,-0.04,0.05,232.17,0.06,0.00,50.008,>
M<2024/07/29 00:10:41,298.41,298.41,297.63,299.38,0.00,0.01,-0.05,0.04,232.04,-0.04,-0.00,49.934,>
M<2024/07/29 00:10:51,298.51,298.51,297.75,299.50,0.00,0.01,-0.04,0.08,232.19,0.02,0.00,49.959,>
M<2024/07/29 00:11:01,298.59,298.59,297.88,299.63,0.00,0.01,-0.05,0.05,232.04,0.15,0.00,49.965,>
M<2024/07/29 00:11:11,298.58,298.58,297.88,299.50,0.00,0.01,-0.03,0.09,232.08,0.21,0.00,49.943,>
M<2024/07/29 00:11:21,298.57,298.57,297.88,299.50,0.00,0.01,-0.04,0.05,232.30,-0.04,-0.00,49.946,>
M<2024/07/29 00:11:31,298.68,298.68,297.88,299.63,0.00,0.01,-0.05,0.04,232.30,-0.08,-0.00,49.943,>
M<2024/07/29 00:11:41,298.75,298.75,298.13,299.75,0.00,0.01,-0.05,0.04,232.35,0.18,0.00,49.939,>
M<2024/07/29 00:11:51,298.75,298.74,298.13,299.63,0.00,0.01,-0.04,0.05,232.24,0.29,0.00,49.937,>
M<2024/07/29 00:12:01,298.74,298.74,298.00,299.75,0.00,0.01,-0.04,0.04,232.39,-0.21,-0.00,49.946,>
M<2024/07/29 00:12:11,298.87,298.87,298.13,299.88,0.00,0.01,-0.04,0.05,232.47,0.21,0.00,49.975,>
M<2024/07/29 00:12:21,298.97,298.97,298.13,300.00,0.00,0.01,-0.04,0.05,232.14,-0.22,-0.00,49.949,>
M<2024/07/29 00:12:31,298.96,298.96,298.25,299.88,0.00,0.01,-0.03,0.04,232.20,0.23,0.00,49.932,>
M<2024/07/29 00:12:41,299.02,299.02,298.25,300.00,0.00,0.01,-0.05,0.05,232.05,0.11,0.00,49.985,>
M<2024/07/29 00:12:51,299.07,299.07,298.25,300.13,0.00,0.01,-0.04,0.04,232.69,0.07,0.00,50.062,>
M<2024/07/29 00:13:01,299.13,299.13,298.38,300.13,0.00,0.01,-0.07,0.07,232.79,0.05,0.00,49.949,>
M<2024/07/29 00:13:11,299.11,299.11,298.38,300.00,0.00,0.01,-0.04,0.04,233.06,-0.13,-0.00,49.967,>
M<2024/07/29 00:13:21,299.19,299.20,298.50,300.25,0.00,0.01,-0.06,0.05,232.99,0.06,0.00,49.962,>
M<2024/07/29 00:13:31,299.29,299.29,298.50,300.13,0.00,0.01,-0.04,0.04,233.06,-0.02,-0.00,49.956,>
M<2024/07/29 00:13:41,299.37,299.37,298.63,300.50,0.00,0.01,-0.04,0.07,233.26,0.04,0.00,49.974,>
M<2024/07/29 00:13:51,299.23,299.24,298.50,300.25,0.00,0.01,-0.03,0.05,233.25,0.24,0.00,49.975,>
M<2024/07/29 00:14:01,299.36,299.36,298.75,300.25,0.00,0.01,-0.05,0.07,233.17,0.01,0.00,49.965,>
M<2024/07/29 00:14:11,299.48,299.48,298.75,300.50,0.00,0.01,-0.03,0.05,233.23,-0.13,-0.00,50.079,>
M<2024/07/29 00:14:22,300.33,300.33,298.88,303.25,0.00,0.01,-0.04,0.05,233.33,0.16,0.00,49.990,>
M<2024/07/29 00:14:32,300.41,300.41,299.00,302.50,0.00,0.01,-0.06,0.05,233.05,0.39,0.00,49.939,>
M<2024/07/29 00:14:42,299.46,299.47,298.63,300.50,0.00,0.01,-0.04,0.11,233.05,0.31,0.00,49.935,>
M<2024/07/29 00:14:52,299.44,299.44,298.63,300.38,0.00,0.01,-0.04,0.05,232.90,0.22,0.00,49.948,>
M<2024/07/29 00:15:02,299.50,299.50,298.88,300.38,0.00,0.01,-0.03,0.04,233.09,0.07,0.00,49.964,>
M<2024/07/29 00:15:12,299.53,299.53,298.75,300.50,0.00,0.01,-0.08,0.07,232.74,-0.15,-0.00,49.943,>
M<2024/07/29 00:15:22,299.57,299.57,298.75,300.50,0.00,0.01,-0.06,0.04,232.51,-0.05,-0.00,49.955,>
M<2024/07/29 00:15:32,299.66,299.66,298.88,300.75,0.00,0.01,-0.04,0.05,232.59,0.25,0.00,49.980,>
M<2024/07/29 00:15:42,299.60,299.60,299.00,300.50,0.00,0.01,-0.04,0.04,232.81,0.23,0.00,49.971,>
M<2024/07/29 00:15:52,299.67,299.67,299.00,300.63,0.00,0.01,-0.03,0.04,233.23,-0.13,-0.00,49.961,>
M<2024/07/29 00:16:02,299.65,299.66,299.00,300.63,0.00,0.01,-0.03,0.10,233.37,0.05,0.00,49.968,>
M<2024/07/29 00:16:12,299.74,299.74,299.00,300.75,0.00,0.01,-0.05,0.05,233.18,-0.10,-0.00,49.971,>
M<2024/07/29 00:16:22,299.80,299.80,299.13,300.63,0.00,0.01,-0.03,0.08,233.22,-0.02,-0.00,50.039,>
M<2024/07/29 00:16:32,299.90,299.90,299.13,301.00,0.00,0.01,-0.06,0.04,233.17,-0.08,-0.00,49.951,>
M<2024/07/29 00:16:42,299.92,299.92,299.25,300.88,0.00,0.01,-0.05,0.05,232.16,-0.15,-0.00,49.978,>
M<2024/07/29 00:16:52,299.98,299.98,299.25,301.00,0.00,0.01,-0.06,0.04,232.33,-0.07,-0.00,49.986,>
M<2024/07/29 00:17:02,299.95,299.95,299.25,300.88,0.00,0.01,-0.03,0.04,232.07,0.10,0.00,49.988,>
M<2024/07/29 00:17:12,299.91,299.91,299.25,300.88,0.00,0.01,-0.07,0.04,232.43,0.16,0.00,49.949,>
M<2024/07/29 00:17:22,299.92,299.92,299.13,301.00,0.00,0.01,-0.03,0.05,232.23,-0.01,-0.00,49.980,>
M<2024/07/29 00:17:32,299.97,299.97,299.25,300.88,0.00,0.01,-0.04,0.04,232.50,0.23,0.00,49.960,>
